Time (ms),Name,Value
67726,"Drive (right) ","-0.0"
67726,"Range Finder ","248.77176000000003"
67726,"DumperJag Current","0.0"
67827,"Climber ","true"
67827,"Tilter ","true"
67827,"Dumper ","true"
67827,"Drive ","true"
67827,"DumperJag Current","0.0"
67928,"Climber position ","21.16870880126953"
67928,"Tilter angle ","-2.8799972534179688"
67928,"Drive (left) ","0.0"
67928,"Drive (right) ","-0.0"
67928,"Range Finder ","248.73108000000002"
67928,"DumperJag Current","0.0"
68029,"DumperJag Current","0.0"
68029,"Climber ","true"
68029,"Tilter ","true"
68029,"Dumper ","true"
68030,"Drive ","true"
68130,"DumperJag Current","0.0"
68131,"Climber position ","21.16870880126953"
68131,"Tilter angle ","-2.8799972534179688"
68131,"Drive (left) ","0.0"
68131,"Drive (right) ","-0.0"
